s3fp01	plain	98724c5370d91a2f	cells-s3-freelist-plain
s3fpk01	plain	cabadc15a6194437	cells-s3-freelist-plain-topup-s2k
s3fpk02	plain	cabadc15a6194437	cells-s3-freelist-plain-topup-s2k
s3fq01	plain	cabadc15a6194437	cells-s3-freelist-plain-stmt
s3fq02	plain	cabadc15a6194437	cells-s3-freelist-plain-stmt
s3fqk01	plain	cabadc15a6194437	cells-s3-freelist-plain-stmt-topup-s2k
s3fs01	salt-diet	cabadc15a6194437	cells-s3-freelist-saltdiet
s3fs02	salt-diet	cabadc15a6194437	cells-s3-freelist-saltdiet
s3fs03	salt-diet	cabadc15a6194437	cells-s3-freelist-saltdiet
s3ft01	salt-diet	cabadc15a6194437	cells-s3-freelist-saltdiet-stmt
s3ft02	salt-diet	cabadc15a6194437	cells-s3-freelist-saltdiet-stmt
s3ft03	salt-diet	cabadc15a6194437	cells-s3-freelist-saltdiet-stmt
